xc,yc,zc,ux,uy,uz,state,szz,sxy,sxz,syz
12.5085,4.49031,0.5,0.0234199,-0.00972934,2.01557e-09,4,-295021,23120.9,-0.30878,-1.01298
13.5086,4.49106,0.5,0.0229484,-0.00866692,3.57048e-09,4,-283013,23839.6,0.207342,0.103676
14.5085,4.49176,0.5,0.0222854,-0.00772969,7.96425e-09,4,-273316,23922.2,-0.140476,-1.38604
15.5083,4.4924,0.5,0.0214611,-0.00692101,6.55927e-09,4,-256579,23818.5,-1.67757,-2.01811
16.508,4.49299,0.5,0.0205203,-0.00620934,4.799e-09,4,-238292,24208.6,-2.36043,-0.106194
17.5076,4.49355,0.5,0.0194865,-0.00556769,4.55664e-08,4,-221304,24579,0.715274,2.58878
18.5072,4.49408,0.5,0.0183603,-0.00498195,7.4152e-08,4,-205188,23655.3,-5.42842,-0.347795
19.5067,4.49456,0.5,0.0171308,-0.00444293,2.51501e-08,4,-191121,22553.3,-3.93434,-1.35158
20.5062,4.495,0.5,0.015799,-0.00395615,-5.21143e-09,4,-179478,21281.2,1.49575,1.376
21.5056,4.49537,0.5,0.0143787,-0.00353251,7.55471e-08,4,-169198,20358.2,3.89654,3.65012
22.505,4.49567,0.5,0.0128751,-0.00317622,2.00362e-07,4,-160869,18677.7,4.65708,9.57817
23.5043,4.49591,0.5,0.0112885,-0.00287872,2.8767e-07,4,-153907,16180.5,7.23577,8.00518
24.5037,4.4961,0.5,0.00963425,-0.00262873,2.95282e-07,4,-146168,12328.7,10.893,0.542555
25.503,4.49624,0.5,0.00793006,-0.0024252,2.14299e-07,4,-142015,8142.36,4.50096,10.939
26.5023,4.49634,0.5,0.00618712,-0.00226924,1.41097e-07,4,-139159,4862.35,-0.752581,0.637117
27.5017,4.49641,0.5,0.0044225,-0.00215988,5.95487e-08,4,-136883,2661.49,5.0842,-3.17236
28.501,4.49645,0.5,0.00265243,-0.00209213,-1.26648e-07,4,-135502,1245.92,2.21922,-0.752201
29.5003,4.49647,0.5,0.000883746,-0.00206027,-3.38075e-07,4,-134965,349.043,-1.72924,0.760874
0.5005,5.48239,0.5,0.000991174,-0.038828,1.11582e-06,4,-342389,2062.55,-0.507449,-30.7456
1.50151,5.48248,0.5,0.00313475,-0.0380929,4.48049e-07,4,-339248,7026.63,-8.2416,0.053856
2.50252,5.48265,0.5,0.00570164,-0.036501,-3.65892e-08,4,-334526,12087.4,17.5347,17.1276
3.50352,5.48291,0.5,0.00877485,-0.0339793,-5.96182e-08,4,-330614,15843.8,-10.6992,8.56448
4.50447,5.48324,0.5,0.0121794,-0.0306904,-4.89668e-07,4,-329082,18746.3,-12.5104,10.8529
5.50531,5.48364,0.5,0.0155108,-0.0270737,-7.93652e-07,4,-327474,20864,8.14766,7.99985
6.506,5.48409,0.5,0.018314,-0.02367,-3.87081e-07,4,-327944,21720.6,6.90281,-4.65084
7.50654,5.48461,0.5,0.0203421,-0.0208075,8.57236e-08,4,-329099,22238.1,6.61197,-5.47134
8.50697,5.4852,0.5,0.0216854,-0.0184231,3.06551e-07,4,-318214,25313.9,8.20352,-0.544717
9.50734,5.48589,0.5,0.0225377,-0.0163281,2.4992e-07,4,-304313,27198.6,8.53508,-1.9144
10.5077,5.48668,0.5,0.022959,-0.014507,1.37423e-08,4,-298781,27590,-0.74215,-11.9128
11.5079,5.48754,0.5,0.0230108,-0.0129539,-4.40147e-08,4,-287175,27629.8,1.72637,-4.45125
12.5081,5.48846,0.5,0.0228134,-0.0115583,-1.65182e-08,4,-271829,29111.1,-4.694,-2.64256
13.5082,5.48937,0.5,0.0224278,-0.0102665,-2.19516e-09,4,-258719,29964.7,-1.1414,-2.71417
14.5081,5.49024,0.5,0.0218568,-0.00911175,1.64433e-09,4,-248793,30053,-1.41192,-1.8183
15.508,5.49104,0.5,0.0211218,-0.00810532,-3.14304e-09,4,-232119,29911.2,-2.43429,-0.932164
16.5077,5.49179,0.5,0.0202615,-0.00721907,-6.46861e-09,4,-214202,30463.2,-3.75974,1.05319
17.5073,5.49249,0.5,0.0192955,-0.00642278,1.79799e-08,4,-196165,30558.1,-3.52069,4.76014
18.5069,5.49315,0.5,0.0182261,-0.00569409,3.66603e-08,4,-179738,29475.2,-3.07047,6.06106
19.5064,5.49375,0.5,0.0170506,-0.00502782,-9.78495e-09,4,-165760,29034.4,-0.805423,6.77124
20.5059,5.49428,0.5,0.0157732,-0.00443637,-6.57115e-08,4,-153829,28340.4,-2.50589,3.62586
21.5053,5.49473,0.5,0.01439,-0.00391942,-2.80218e-08,4,-142964,26878.3,-2.51669,-3.13149
22.5047,5.4951,0.5,0.0128919,-0.00345428,9.59116e-08,4,-131982,22222.1,-0.333972,7.64554
23.5041,5.49539,0.5,0.0112805,-0.00303848,1.80785e-07,4,-124440,14768.9,-0.860928,-11.6329
24.5035,5.49561,0.5,0.00958655,-0.00269334,1.64255e-07,4,-117405,8543.3,15.8493,-11.7528
25.5029,5.49577,0.5,0.0078538,-0.00242264,7.15107e-08,4,-113698,4704.62,4.04264,3.42077
26.5022,5.49588,0.5,0.00610705,-0.00222147,2.4116e-08,4,-112032,2038.67,1.45481,4.45904
27.5016,5.49596,0.5,0.00435766,-0.00208824,3.50253e-08,4,-111021,676.948,12.7483,9.81628
28.5009,5.49601,0.5,0.00261162,-0.0020114,-6.80378e-08,4,-110232,180.752,5.30411,-0.791724
29.5003,5.49603,0.5,0.000869983,-0.00197723,-2.55526e-07,4,-109998,51.8762,-2.77112,-12.0773
0.500476,6.47976,0.5,0.000736722,-0.0427937,7.59623e-07,4,-320107,1187.93,-1.10579,-21.729
1.50143,6.47984,0.5,0.00231943,-0.0423229,1.34226e-07,4,-320660,4487.73,-8.90946,13.7879
2.50239,6.48002,0.5,0.00424497,-0.0411981,-2.58342e-07,4,-315799,9378.06,5.32486,14.2207
3.50332,6.48031,0.5,0.00669564,-0.0391822,-7.67562e-08,4,-310909,14316.3,-14.621,9.57038
4.5042,6.48071,0.5,0.00967181,-0.0361909,-1.82247e-07,4,-307591,18002.3,-19.9013,21.1029
5.50499,6.48122,0.5,0.0129221,-0.0324488,-3.96187e-07,4,-305415,20985.4,-29.1116,3.05769
6.50565,6.4818,0.5,0.0159963,-0.0284741,-1.71515e-07,4,-303630,23272.9,6.2195,-12.1109
7.50617,6.48244,0.5,0.0184707,-0.0248287,2.28136e-07,4,-302922,24448.6,11.947,-9.65828
8.50657,6.48313,0.5,0.0201965,-0.0217597,3.17308e-07,4,-298403,26999.5,6.6172,-12.4448
9.50689,6.48388,0.5,0.0213104,-0.0191448,1.83845e-07,4,-283199,30938.6,15.2809,-2.86344
10.5072,6.48474,0.5,0.0219582,-0.0168651,-1.26685e-08,4,-272025,31926.1,19.1791,1.64456
11.5074,6.4857,0.5,0.0221914,-0.0149352,-4.19549e-08,4,-264599,32572.2,0.200561,-2.06224
12.5076,6.48674,0.5,0.0221106,-0.0132745,-3.29395e-08,4,-249468,34021.2,-2.93374,-5.54136
13.5077,6.4878,0.5,0.021822,-0.0117572,-2.57647e-08,4,-234822,36033.6,1.199,-3.67862
14.5077,6.48884,0.5,0.0213521,-0.0103841,-1.05958e-08,4,-223816,36448.9,-1.47318,-1.41803
15.5075,6.48981,0.5,0.0207178,-0.00917788,-1.81838e-08,4,-208065,36649.6,-2.89904,-0.893665
16.5073,6.49072,0.5,0.019951,-0.00811044,-3.23376e-08,4,-190033,37165.3,-4.79317,0.702676
17.507,6.49156,0.5,0.0190686,-0.00715085,-1.18561e-08,4,-170729,36413,-5.20763,1.00049
18.5066,6.49235,0.5,0.0180769,-0.00628111,1.79835e-08,4,-154574,35802.7,-2.91726,1.0675
19.5061,6.49308,0.5,0.0169812,-0.00549671,-2.75226e-08,4,-141569,35858.5,1.56729,5.4993
20.5056,6.49372,0.5,0.0157645,-0.00477588,-7.83759e-08,4,-125630,34710.5,1.68679,-6.8975
21.505,6.49425,0.5,0.0143821,-0.00407608,-4.47758e-08,4,-112521,25604.9,-4.70825,1.95479
22.5045,6.49468,0.5,0.0128203,-0.00340489,8.12909e-08,4,-100344,15670.3,-4.7663,-5.91438
23.5039,6.49501,0.5,0.0111382,-0.00282925,1.82755e-07,4,-92440.6,7762.26,1.34998,-8.0434
24.5033,6.49525,0.5,0.00941051,-0.00239176,1.24439e-07,4,-88895.4,3320.12,10.0624,4.05171
25.5027,6.49543,0.5,0.00767748,-0.00208158,6.84235e-08,4,-86893.7,1396.79,7.46849,17.66
26.5021,6.49555,0.5,0.0059568,-0.0018697,7.66293e-08,4,-86004,478.125,-7.23096,10.5394
27.5015,6.49563,0.5,0.00424951,-0.0017341,6.10133e-08,4,-85753.2,-42.9354,3.84169,-0.947115
28.5009,6.49568,0.5,0.00254845,-0.00165671,9.20213e-09,4,-85657.3,-216.74,9.35857,3.37179
29.5003,6.49571,0.5,0.000849303,-0.00162234,-7.81594e-08,4,-85490.1,-98.2738,-0.473627,-2.79711
0.50045,7.47731,0.5,0.000577112,-0.0461786,4.63288e-07,4,-295842,556.89,19.9995,-29.6299
1.50135,7.4774,0.5,0.00177853,-0.0458778,-7.47475e-08,4,-300272,2627.49,0.218979,18.9798
2.50223,7.4776,0.5,0.00317852,-0.0451203,-2.10787e-07,4,-297800,6808.74,-0.569688,12.5825
3.50308,7.47792,0.5,0.00499433,-0.043631,1.90183e-07,4,-292158,12093.2,-7.69396,-5.36688
4.50388,7.47838,0.5,0.00737957,-0.0411501,1.42747e-07,4,-287333,16694.7,-17.5119,5.95173
5.5046,7.47898,0.5,0.0102834,-0.0376397,-1.48675e-07,4,-284212,20262.7,-9.832,9.0023
6.50523,7.47968,0.5,0.0133878,-0.0334324,-9.47435e-08,4,-281212,23368.8,-11.0059,-15.5514
7.50573,7.48043,0.5,0.0162099,-0.0291401,2.53122e-07,4,-278829,25951.4,-4.57739,-19.0901
8.50611,7.48121,0.5,0.0183782,-0.0252996,3.44811e-07,4,-274691,27783.1,7.97492,-2.47867
9.5064,7.48205,0.5,0.0198417,-0.0220492,1.10745e-07,4,-264261,31721.5,-0.506996,-4.20495
10.5066,7.48298,0.5,0.0207535,-0.0192639,3.11542e-08,4,-248517,34639.4,-1.26445,-2.01184
11.5068,7.48401,0.5,0.021215,-0.0168903,1.30652e-07,4,-239859,35883.4,-10.4588,6.68569
12.507,7.48515,0.5,0.0212981,-0.0149007,2.27729e-08,4,-228759,38163.3,6.78542,2.13105
13.5071,7.48635,0.5,0.0211293,-0.0131468,-5.36781e-08,4,-211865,40953.7,0.169331,-7.15431
14.5071,7.48756,0.5,0.0207753,-0.0115537,-2.24252e-08,4,-199488,42659.3,-2.40859,-1.26463
15.507,7.4887,0.5,0.0202516,-0.0101426,-3.5594e-08,4,-184219,43465.5,-2.82047,-1.54228
16.5068,7.48977,0.5,0.0195889,-0.00889026,-6.33063e-08,4,-165128,43330.2,-3.49636,-1.21375
17.5065,7.49078,0.5,0.0188098,-0.00776393,-7.21306e-08,4,-145223,43029.7,-4.35345,-0.0323958
18.5062,7.49171,0.5,0.0179249,-0.00676021,-4.18795e-08,4,-130218,42078.1,-5.25523,3.20109
19.5057,7.49256,0.5,0.0169103,-0.00582595,-4.47694e-08,4,-113153,39839.8,-8.70189,-5.59104
20.5052,7.49332,0.5,0.0156889,-0.0048348,-3.76208e-08,4,-93111.3,28327.4,0.372448,-11.218
21.5047,7.49393,0.5,0.0141927,-0.00379488,1.1353e-08,4,-77412.4,16314.1,0.898434,-6.31802
22.5041,7.49441,0.5,0.0125057,-0.00289114,7.78795e-08,4,-66965.5,6735.01,6.17975,-1.67228
23.5036,7.49476,0.5,0.0107828,-0.00222889,1.88154e-07,4,-63400.3,2454.09,6.07331,4.88787
24.503,7.49502,0.5,0.00908503,-0.00176981,1.65564e-07,4,-62065.5,657.059,7.35888,-4.10425
25.5025,7.49521,0.5,0.00741467,-0.00145977,7.7121e-08,4,-61542.1,-109.579,2.84901,-7.37194
26.5019,7.49534,0.5,0.00576162,-0.00125533,1.1067e-07,4,-61183.4,-268.625,-9.8109,1.21607
